Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Location,UK,,,,
Academic years,2016/17 to 2020/21,,,,
Data source,HESA,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb261/figure-5,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb261/figure-5.csv,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,
Code page,Unicode UTF-8,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,
"2016/17 total: 206,870",,,,,
"2017/18 total: 211,980",,,,,
"2018/19 total: 217,065",,,,,
"2019/20 total: 223,525",,,,,
"2020/21 total: 224,530",,,,,
Last updated,Feb-22,,,,
,,,,,
,,,,,
Category Marker,Category,Country of HE Provider,Contract Level,Academic year,Number
Age Group,25 and under,England,Professor,2016/17,0
Age Group,25 and under,England,Other senior academic,2016/17,0
Age Group,25 and under,England,Other contract level,2016/17,4295
Age Group,25 and under,England,Total,2016/17,4295
Age Group,25 and under,Northern Ireland,Professor,2016/17,0
Age Group,25 and under,Northern Ireland,Other senior academic,2016/17,0
Age Group,25 and under,Northern Ireland,Other contract level,2016/17,40
Age Group,25 and under,Northern Ireland,Total,2016/17,40
Age Group,25 and under,Scotland,Professor,2016/17,0
Age Group,25 and under,Scotland,Other senior academic,2016/17,0
Age Group,25 and under,Scotland,Other contract level,2016/17,665
Age Group,25 and under,Scotland,Total,2016/17,665
Age Group,25 and under,Wales,Professor,2016/17,0
Age Group,25 and under,Wales,Other senior academic,2016/17,0
Age Group,25 and under,Wales,Other contract level,2016/17,240
Age Group,25 and under,Wales,Total,2016/17,240
Age Group,25 and under,England,Professor,2017/18,0
Age Group,25 and under,England,Other senior academic,2017/18,0
Age Group,25 and under,England,Other contract level,2017/18,4755
Age Group,25 and under,England,Total,2017/18,4755
Age Group,25 and under,Northern Ireland,Professor,2017/18,0
Age Group,25 and under,Northern Ireland,Other senior academic,2017/18,0
Age Group,25 and under,Northern Ireland,Other contract level,2017/18,50
Age Group,25 and under,Northern Ireland,Total,2017/18,50
Age Group,25 and under,Scotland,Professor,2017/18,0
Age Group,25 and under,Scotland,Other senior academic,2017/18,0
Age Group,25 and under,Scotland,Other contract level,2017/18,1255
Age Group,25 and under,Scotland,Total,2017/18,1255
Age Group,25 and under,Wales,Professor,2017/18,0
Age Group,25 and under,Wales,Other senior academic,2017/18,0
Age Group,25 and under,Wales,Other contract level,2017/18,205
Age Group,25 and under,Wales,Total,2017/18,205
Age Group,25 and under,England,Professor,2018/19,0
Age Group,25 and under,England,Other senior academic,2018/19,0
Age Group,25 and under,England,Other contract level,2018/19,4985
Age Group,25 and under,England,Total,2018/19,4990
Age Group,25 and under,Northern Ireland,Professor,2018/19,0
Age Group,25 and under,Northern Ireland,Other senior academic,2018/19,0
Age Group,25 and under,Northern Ireland,Other contract level,2018/19,75
Age Group,25 and under,Northern Ireland,Total,2018/19,75
Age Group,25 and under,Scotland,Professor,2018/19,0
Age Group,25 and under,Scotland,Other senior academic,2018/19,0
Age Group,25 and under,Scotland,Other contract level,2018/19,1435
Age Group,25 and under,Scotland,Total,2018/19,1435
Age Group,25 and under,Wales,Professor,2018/19,0
Age Group,25 and under,Wales,Other senior academic,2018/19,0
Age Group,25 and under,Wales,Other contract level,2018/19,215
Age Group,25 and under,Wales,Total,2018/19,215
Age Group,25 and under,England,Professor,2019/20,0
Age Group,25 and under,England,Other senior academic,2019/20,0
Age Group,25 and under,England,Other contract level,2019/20,5035
Age Group,25 and under,England,Total,2019/20,5035
Age Group,25 and under,Northern Ireland,Professor,2019/20,0
Age Group,25 and under,Northern Ireland,Other senior academic,2019/20,0
Age Group,25 and under,Northern Ireland,Other contract level,2019/20,80
Age Group,25 and under,Northern Ireland,Total,2019/20,80
Age Group,25 and under,Scotland,Professor,2019/20,0
Age Group,25 and under,Scotland,Other senior academic,2019/20,0
Age Group,25 and under,Scotland,Other contract level,2019/20,1610
Age Group,25 and under,Scotland,Total,2019/20,1610
Age Group,25 and under,Wales,Professor,2019/20,0
Age Group,25 and under,Wales,Other senior academic,2019/20,0
Age Group,25 and under,Wales,Other contract level,2019/20,205
Age Group,25 and under,Wales,Total,2019/20,205
Age Group,25 and under,England,Professor,2020/21,0
Age Group,25 and under,England,Other senior academic,2020/21,0
Age Group,25 and under,England,Other contract level,2020/21,4630
Age Group,25 and under,England,Total,2020/21,4630
Age Group,25 and under,Northern Ireland,Professor,2020/21,0
Age Group,25 and under,Northern Ireland,Other senior academic,2020/21,0
Age Group,25 and under,Northern Ireland,Other contract level,2020/21,55
Age Group,25 and under,Northern Ireland,Total,2020/21,55
Age Group,25 and under,Scotland,Professor,2020/21,0
Age Group,25 and under,Scotland,Other senior academic,2020/21,0
Age Group,25 and under,Scotland,Other contract level,2020/21,1605
Age Group,25 and under,Scotland,Total,2020/21,1605
Age Group,25 and under,Wales,Professor,2020/21,0
Age Group,25 and under,Wales,Other senior academic,2020/21,0
Age Group,25 and under,Wales,Other contract level,2020/21,195
Age Group,25 and under,Wales,Total,2020/21,195
Age Group,25 and under,All,Professor,2016/17,0
Age Group,25 and under,All,Other senior academic,2016/17,0
Age Group,25 and under,All,Other contract level,2016/17,5245
Age Group,25 and under,All,Total,2016/17,5245
Age Group,25 and under,All,Professor,2017/18,0
Age Group,25 and under,All,Other senior academic,2017/18,0
Age Group,25 and under,All,Other contract level,2017/18,6270
Age Group,25 and under,All,Total,2017/18,6270
Age Group,25 and under,All,Professor,2018/19,0
Age Group,25 and under,All,Other senior academic,2018/19,0
Age Group,25 and under,All,Other contract level,2018/19,6710
Age Group,25 and under,All,Total,2018/19,6710
Age Group,25 and under,All,Professor,2019/20,0
Age Group,25 and under,All,Other senior academic,2019/20,0
Age Group,25 and under,All,Other contract level,2019/20,6930
Age Group,25 and under,All,Total,2019/20,6930
Age Group,25 and under,All,Professor,2020/21,0
Age Group,25 and under,All,Other senior academic,2020/21,0
Age Group,25 and under,All,Other contract level,2020/21,6480
Age Group,25 and under,All,Total,2020/21,6480
Age Group,26-35,England,Professor,2016/17,105
Age Group,26-35,England,Other senior academic,2016/17,70
Age Group,26-35,England,Other contract level,2016/17,45560
Age Group,26-35,England,Total,2016/17,45735
Age Group,26-35,Northern Ireland,Professor,2016/17,0
Age Group,26-35,Northern Ireland,Other senior academic,2016/17,0
Age Group,26-35,Northern Ireland,Other contract level,2016/17,700
Age Group,26-35,Northern Ireland,Total,2016/17,700
Age Group,26-35,Scotland,Professor,2016/17,15
Age Group,26-35,Scotland,Other senior academic,2016/17,5
Age Group,26-35,Scotland,Other contract level,2016/17,5690
Age Group,26-35,Scotland,Total,2016/17,5710
Age Group,26-35,Wales,Professor,2016/17,5
Age Group,26-35,Wales,Other senior academic,2016/17,10
Age Group,26-35,Wales,Other contract level,2016/17,2255
Age Group,26-35,Wales,Total,2016/17,2265
Age Group,26-35,England,Professor,2017/18,85
Age Group,26-35,England,Other senior academic,2017/18,75
Age Group,26-35,England,Other contract level,2017/18,45565
Age Group,26-35,England,Total,2017/18,45725
Age Group,26-35,Northern Ireland,Professor,2017/18,0
Age Group,26-35,Northern Ireland,Other senior academic,2017/18,0
Age Group,26-35,Northern Ireland,Other contract level,2017/18,755
Age Group,26-35,Northern Ireland,Total,2017/18,755
Age Group,26-35,Scotland,Professor,2017/18,5
Age Group,26-35,Scotland,Other senior academic,2017/18,5
Age Group,26-35,Scotland,Other contract level,2017/18,6685
Age Group,26-35,Scotland,Total,2017/18,6695
Age Group,26-35,Wales,Professor,2017/18,5
Age Group,26-35,Wales,Other senior academic,2017/18,5
Age Group,26-35,Wales,Other contract level,2017/18,2270
Age Group,26-35,Wales,Total,2017/18,2280
Age Group,26-35,England,Professor,2018/19,110
Age Group,26-35,England,Other senior academic,2018/19,75
Age Group,26-35,England,Other contract level,2018/19,46185
Age Group,26-35,England,Total,2018/19,46370
Age Group,26-35,Northern Ireland,Professor,2018/19,0
Age Group,26-35,Northern Ireland,Other senior academic,2018/19,0
Age Group,26-35,Northern Ireland,Other contract level,2018/19,790
Age Group,26-35,Northern Ireland,Total,2018/19,790
Age Group,26-35,Scotland,Professor,2018/19,5
